DEBUG 2026-04-29 22:40:56,629 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1776481028.9033854
DEBUG 2026-04-29 22:40:56,629 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_meta.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,630 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1776481028.9033854
DEBUG 2026-04-29 22:40:56,630 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\pickle.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,630 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\files\images.py first seen with mtime 1776481033.7303355
DEBUG 2026-04-29 22:40:56,630 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\signals.py first seen with mtime 1776481033.6726043
DEBUG 2026-04-29 22:40:56,630 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1776481033.9579206
DEBUG 2026-04-29 22:40:56,631 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\cp875.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,631 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1776481033.736335
DEBUG 2026-04-29 22:40:56,631 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1776481048.6817064
DEBUG 2026-04-29 22:40:56,631 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\utils\text.py first seen with mtime 1776481034.4236844
DEBUG 2026-04-29 22:40:56,632 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\postgres\forms\__init__.py first seen with mtime 1776481031.2978065
DEBUG 2026-04-29 22:40:56,632 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\migrations\recorder.py first seen with mtime 1776481033.94009
DEBUG 2026-04-29 22:40:56,632 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\asyncio\threads.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,632 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1776481029.650939
